	AnimalID	Name	DateTime	OutcomeType	AnimalType	SexuponOutcome	AgeuponOutcome	Breed	Color	HasName	TimeofDay	WeekDay	Sex	IsIntact	AgeInYears	Age	IsMixBreed	MixorMultipleorSimple	SimpleBreed	Group	Size	IsMixColor	SimpleColor
23	A686716	Chester	2014-08-27 07:50:00	Return_to_owner	Dog	Neutered Male	12 years	Beagle	Tricolor	1	morning	2	Male	0.0	12.0	2	0	Simple	Beagle	Hound	0	0	Tricolor
24	A697852	Edith	2015-03-09 17:57:00	Adoption	Dog	Spayed Female	5 months	German Shepherd Mix	Black/Brown	1	lateday	0	Female	0.0	0.4166666666666667	0	1	Mix	German Shepherd	Herding	2	1	Black
25	A666092	Nameless	2013-10-30 15:37:00	Euthanasia	Dog	Intact Male	6 years	Pit Bull/Labrador Retriever	Chocolate/White	0	midday	2	Male	1.0	6.0	1	0	Multiple	Pit Bull	PitBull	1	1	Chocolate
26	A701627	Gabe	2015-05-14 12:07:00	Adoption	Dog	Neutered Male	2 years	Blue Lacy Mix	Gray/White	1	midday	3	Male	0.0	2.0	1	1	Mix	Blue Lacy	Working	1	1	Gray
27	A683443	Nameless	2014-07-18 16:23:00	Transfer	Dog	Intact Male	1 year	Chihuahua Shorthair Mix	Tan	0	lateday	4	Male	1.0	1.0	0	1	Mix	Chihuahua Shorthair	Toy	0	0	Tan
28	A597644	Lola	2014-09-16 14:05:00	Return_to_owner	Dog	Spayed Female	4 years	Black Mouth Cur Mix	Tan/Black	1	midday	1	Female	0.0	4.0	1	1	Mix	Black Mouth Cur	Herding	1	1	Tan
29	A682784	Sugar	2014-07-07 12:38:00	Adoption	Dog	Neutered Male	2 years	Dachshund/Beagle	Brown/White	1	midday	0	Male	0.0	2.0	1	0	Multiple	Dachshund	Hound	0	1	Brown
30	A678506	Prec Punkin'	2014-05-09 18:07:00	Euthanasia	Dog	Spayed Female	11 years	Yorkshire Terrier Mix	Brown/Black	1	lateday	4	Female	0.0	11.0	2	1	Mix	Yorkshire Terrier	Toy	0	1	Brown
31	A712236	Bella	2015-09-23 11:45:00	Adoption	Dog	Spayed Female	2 years	Dachshund Mix	Tan/White	1	midday	2	Female	0.0	2.0	1	1	Mix	Dachshund	Hound	0	1	Tan
32	A714740	Chiquita	2015-10-27 18:32:00	Return_to_owner	Dog	Spayed Female	6 years	Maltese Mix	White	1	lateday	1	Female	0.0	6.0	1	1	Mix	Maltese	Toy	0	0	White
33	A691847	Hero	2014-12-08 15:53:00	Transfer	Dog	Neutered Male	6 months	Pointer Mix	Black/White	1	midday	0	Male	0.0	0.5	0	1	Mix	Pointer	Sporting	1	1	Black
34	A711392	Molly	2015-09-08 15:31:00	Transfer	Dog	Intact Female	2 months	English Foxhound	Buff	1	midday	1	Female	1.0	0.16666666666666666	0	0	Simple	English Foxhound	Hound	2	0	Buff
35	A678172	Bella	2014-05-10 18:18:00	Adoption	Dog	Spayed Female	1 year	Chihuahua Shorthair Mix	Red	1	lateday	5	Female	0.0	1.0	0	1	Mix	Chihuahua Shorthair	Toy	0	0	Red
36	A676736	Chili	2014-04-30 17:55:00	Adoption	Dog	Neutered Male	2 months	Vizsla Mix	Brown	1	lateday	2	Male	0.0	0.16666666666666666	0	1	Mix	Vizsla	Sporting	1	0	Brown
37	A701575	Hastings	2016-01-29 14:53:00	Transfer	Dog	Neutered Male	2 years	Pit Bull Mix	Brown Brindle/White	1	midday	4	Male	0.0	2.0	1	1	Mix	Pit Bull	PitBull	1	1	Brown Brindle
38	A674913	Nameless	2014-03-25 18:15:00	Adoption	Dog	Spayed Female	3 years	German Shepherd/Great Pyrenees	White	0	lateday	1	Female	0.0	3.0	1	0	Multiple	German Shepherd	Herding	2	0	White
39	A669540	Snookie	2013-12-28 16:17:00	Return_to_owner	Dog	Spayed Female	4 years	Yorkshire Terrier Mix	Blue/Tan	1	lateday	5	Female	0.0	4.0	1	1	Mix	Yorkshire Terrier	Toy	0	1	Blue
40	A709371	Abby	2015-08-19 14:28:00	Transfer	Dog	Spayed Female	2 years	Cardigan Welsh Corgi/Chihuahua Shorthair	Tan	1	midday	2	Female	0.0	2.0	1	0	Multiple	Cardigan Welsh Corgi	Herding	1	0	Tan
41	A704179	Zeus	2015-06-07 16:07:00	Adoption	Dog	Neutered Male	2 months	Chow Chow/Pit Bull	Black	1	lateday	6	Male	0.0	0.16666666666666666	0	0	Multiple	Chow Chow	NonSporting	1	0	Black
42	A700740	Charlie	2015-12-17 12:10:00	Adoption	Dog	Neutered Male	1 year	Chihuahua Shorthair	White	1	midday	3	Male	0.0	1.0	0	0	Simple	Chihuahua Shorthair	Toy	0	0	White
43	A691838	Avaddon	2015-02-09 17:17:00	Euthanasia	Dog	Neutered Male	12 years	Pit Bull Mix	Brown Brindle	1	lateday	0	Male	0.0	12.0	2	1	Mix	Pit Bull	PitBull	1	0	Brown Brindle
44	A687789	Nameless	2014-09-14 18:51:00	Adoption	Dog	Neutered Male	1 year	Dachshund/Beagle	Brown/White	0	lateday	6	Male	0.0	1.0	0	0	Multiple	Dachshund	Hound	0	1	Brown
45	A677594	Nameless	2014-04-26 18:00:00	Transfer	Dog	Intact Female	3 months	Labrador Retriever Mix	Black/White	0	lateday	5	Female	1.0	0.25	0	1	Mix	Labrador Retriever	Sporting	1	1	Black
46	A717147	Freeway	2015-12-15 14:16:00	Adoption	Dog	Neutered Male	5 months	Plott Hound Mix	Brown Brindle/White	1	midday	1	Male	0.0	0.4166666666666667	0	1	Mix	Plott Hound	Hound	2	1	Brown Brindle
47	A687012	Chloe	2016-02-07 14:54:00	Adoption	Dog	Spayed Female	3 years	Boxer/Great Dane	Black	1	midday	6	Female	0.0	3.0	1	0	Multiple	Boxer	Working	1	0	Black
48	A676200	Georgia	2014-04-10 11:49:00	Transfer	Dog	Spayed Female	7 years	Lhasa Apso	White/Black	1	midday	3	Female	0.0	7.0	2	0	Simple	Lhasa Apso	NonSporting	0	1	White
49	A676680	Hero	2015-02-06 18:56:00	Euthanasia	Dog	Spayed Female	2 years	German Shepherd Mix	Black/Tan	1	lateday	4	Female	0.0	2.0	1	1	Mix	German Shepherd	Herding	2	1	Black
50	A715261	Darcy	2015-11-15 14:06:00	Adoption	Dog	Spayed Female	9 years	Beagle/Treeing Walker Coonhound	White/Brown	1	midday	6	Female	0.0	9.0	2	0	Multiple	Beagle	Hound	0	1	White
51	A717008	Taz	2015-12-06 15:12:00	Transfer	Dog	Neutered Male	7 months	Border Collie Mix	Black/White	1	midday	6	Male	0.0	0.5833333333333334	0	1	Mix	Border Collie	Herding	1	1	Black
52	A695155	Nameless	2015-01-14 16:18:00	Adoption	Dog	Neutered Male	3 years	Border Terrier Mix	Gray	0	lateday	2	Male	0.0	3.0	1	1	Mix	Border Terrier	Terrier	0	0	Gray
53	A679721	Poppy	2014-05-29 17:43:00	Adoption	Dog	Neutered Male	5 years	Chihuahua Shorthair Mix	Tan/White	1	lateday	3	Male	0.0	5.0	1	1	Mix	Chihuahua Shorthair	Toy	0	1	Tan
54	A719113	Dexter	2016-01-28 12:05:00	Transfer	Dog	Neutered Male	5 years	Boxer Mix	Brown Brindle/White	1	midday	3	Male	0.0	5.0	1	1	Mix	Boxer	Working	1	1	Brown Brindle
55	A699990	Chubbs	2015-04-08 18:06:00	Return_to_owner	Dog	Neutered Male	4 years	Cairn Terrier Mix	Tan/White	1	lateday	2	Male	0.0	4.0	1	1	Mix	Cairn Terrier	Terrier	0	1	Tan
56	A668362	Minnie	2013-12-20 12:02:00	Return_to_owner	Dog	Spayed Female	2 years	Chihuahua Shorthair Mix	Black/Tan	1	midday	4	Female	0.0	2.0	1	1	Mix	Chihuahua Shorthair	Toy	0	1	Black
57	A674577	Santiago	2014-03-23 18:43:00	Adoption	Dog	Neutered Male	2 years	Dogo Argentino Mix	White	1	lateday	6	Male	0.0	2.0	1	1	Mix	Dogo Argentino	Unknown	2	0	White
58	A674802	Franklin	2014-03-29 11:26:00	Return_to_owner	Dog	Neutered Male	9 years	Dachshund Mix	Black/Brown	1	midday	5	Male	0.0	9.0	2	1	Mix	Dachshund	Hound	0	1	Black
59	A672410	Myles	2014-02-11 18:16:00	Return_to_owner	Dog	Neutered Male	5 years	Beagle Mix	Tricolor	1	lateday	1	Male	0.0	5.0	1	1	Mix	Beagle	Hound	0	0	Tricolor
60	A657753	Wiz	2013-12-06 16:53:00	Euthanasia	Dog	Neutered Male	1 year	Chihuahua Shorthair/Dachshund	Yellow Brindle/White	1	lateday	4	Male	0.0	1.0	0	0	Multiple	Chihuahua Shorthair	Toy	0	1	Yellow Brindle
61	A663339	Abby	2013-10-20 16:37:00	Adoption	Dog	Spayed Female	2 years	Pit Bull Mix	Fawn/White	1	lateday	6	Female	0.0	2.0	1	1	Mix	Pit Bull	PitBull	1	1	Fawn
62	A698694	Boss	2015-07-06 15:48:00	Transfer	Dog	Intact Male	5 months	Pit Bull Mix	White/Brown	1	midday	0	Male	1.0	0.4166666666666667	0	1	Mix	Pit Bull	PitBull	1	1	White
63	A674233	Missy	2014-03-22 15:38:00	Adoption	Dog	Spayed Female	1 year	Chihuahua Shorthair Mix	Tan	1	midday	5	Female	0.0	1.0	0	1	Mix	Chihuahua Shorthair	Toy	0	0	Tan
64	A713392	Basil	2015-11-05 00:00:00	Transfer	Dog	Intact Male	3 months	Chihuahua Shorthair Mix	Black/White	1	night	3	Male	1.0	0.25	0	1	Mix	Chihuahua Shorthair	Toy	0	1	Black
65	A701428	Kiki	2015-05-03 16:59:00	Return_to_owner	Dog	Spayed Female	3 years	Chihuahua Shorthair Mix	Brown	1	lateday	6	Female	0.0	3.0	1	1	Mix	Chihuahua Shorthair	Toy	0	0	Brown
66	A676146	Desmo	2014-04-14 17:00:00	Return_to_owner	Dog	Neutered Male	5 years	Dachshund Mix	Black	1	lateday	0	Male	0.0	5.0	1	1	Mix	Dachshund	Hound	0	0	Black
67	A679259	Pablo	2014-05-26 11:22:00	Adoption	Dog	Neutered Male	8 years	Miniature Schnauzer/Miniature Poodle	Black	1	midday	0	Male	0.0	8.0	2	0	Multiple	Miniature Schnauzer	Terrier	0	0	Black
68	A688223	Nameless	2014-09-21 14:15:00	Adoption	Dog	Spayed Female	2 months	Labrador Retriever Mix	Black/White	0	midday	6	Female	0.0	0.16666666666666666	0	1	Mix	Labrador Retriever	Sporting	1	1	Black
69	A674530	Jackson	2014-09-11 17:03:00	Adoption	Dog	Neutered Male	5 years	Pit Bull	Black	1	lateday	3	Male	0.0	5.0	1	0	Simple	Pit Bull	PitBull	1	0	Black
70	A718604	Watson	2016-01-31 17:22:00	Adoption	Dog	Neutered Male	1 year	Pit Bull Mix	White/Brown	1	lateday	6	Male	0.0	1.0	0	1	Mix	Pit Bull	PitBull	1	1	White
71	A699094	Levon	2015-03-22 18:40:00	Return_to_owner	Dog	Neutered Male	2 years	Chihuahua Shorthair Mix	Brown/White	1	lateday	6	Male	0.0	2.0	1	1	Mix	Chihuahua Shorthair	Toy	0	1	Brown
72	A394547	Snickerdoodl	2015-01-25 11:15:00	Return_to_owner	Dog	Spayed Female	9 years	Labrador Retriever Mix	Chocolate/White	1	midday	6	Female	0.0	9.0	2	1	Mix	Labrador Retriever	Sporting	1	1	Chocolate
73	A662685	Lola	2015-10-22 17:18:00	Adoption	Dog	Spayed Female	3 years	Pit Bull Mix	Red/White	1	lateday	3	Female	0.0	3.0	1	1	Mix	Pit Bull	PitBull	1	1	Red
74	A707781	Pearl	2016-01-15 14:03:00	Adoption	Dog	Spayed Female	1 year	Chihuahua Shorthair/Jack Russell Terrier	Black/White	1	midday	4	Female	0.0	1.0	0	0	Multiple	Chihuahua Shorthair	Toy	0	1	Black
75	A694699	Pebbles	2015-01-09 15:28:00	Transfer	Dog	Spayed Female	2 years	Chihuahua Shorthair Mix	Black/Tan	1	midday	4	Female	0.0	2.0	1	1	Mix	Chihuahua Shorthair	Toy	0	1	Black
76	A696350	Minnie	2015-12-15 17:30:00	Return_to_owner	Dog	Spayed Female	1 year	Pit Bull	Brown Brindle	1	lateday	1	Female	0.0	1.0	0	0	Simple	Pit Bull	PitBull	1	0	Brown Brindle
77	A698341	Parsley	2015-05-16 15:19:00	Return_to_owner	Dog	Spayed Female	2 years	Tibetan Terrier Mix	Brown	1	midday	5	Female	0.0	2.0	1	1	Mix	Tibetan Terrier	NonSporting	1	0	Brown
78	A689601	Abby	2014-11-23 18:55:00	Adoption	Dog	Spayed Female	1 month	Miniature Pinscher/Chihuahua Shorthair	Tricolor	1	lateday	6	Female	0.0	0.08333333333333333	0	0	Multiple	Miniature Pinscher	Toy	0	0	Tricolor
79	A714494	Amarillo	2015-11-01 19:11:00	Adoption	Dog	Neutered Male	6 months	Labrador Retriever Mix	Yellow	1	lateday	6	Male	0.0	0.5	0	1	Mix	Labrador Retriever	Sporting	1	0	Yellow
80	A688720	Nameless	2014-09-26 18:09:00	Adoption	Dog	Spayed Female	1 year	Dachshund Mix	Tan	0	lateday	4	Female	0.0	1.0	0	1	Mix	Dachshund	Hound	0	0	Tan
81	A689690	Winnie	2014-10-22 14:37:00	Transfer	Dog	Intact Female	6 months	Dachshund Mix	Brown/White	1	midday	2	Female	1.0	0.5	0	1	Mix	Dachshund	Hound	0	1	Brown
82	A702014	Diamond	2015-11-14 13:30:00	Adoption	Dog	Spayed Female	11 months	Blue Lacy Mix	Blue/White	1	midday	5	Female	0.0	0.9166666666666666	0	1	Mix	Blue Lacy	Working	1	1	Blue
83	A673626	Nameless	2014-03-03 16:58:00	Transfer	Dog	Neutered Male	3 months	Rat Terrier Mix	Tricolor	0	lateday	0	Male	0.0	0.25	0	1	Mix	Rat Terrier	Terrier	0	0	Tricolor
84	A652097	Minnie	2014-02-10 12:34:00	Return_to_owner	Dog	Spayed Female	2 years	Dachshund Longhair	Brown	1	midday	0	Female	0.0	2.0	1	0	Simple	Dachshund Longhair	Hound	0	0	Brown
85	A685180	Neville	2014-09-27 12:25:00	Transfer	Dog	Neutered Male	2 years	Pit Bull Mix	Red	1	midday	5	Male	0.0	2.0	1	1	Mix	Pit Bull	PitBull	1	0	Red
86	A707442	Conrad	2015-08-15 11:32:00	Adoption	Dog	Neutered Male	2 years	Pit Bull Mix	Brown/White	1	midday	5	Male	0.0	2.0	1	1	Mix	Pit Bull	PitBull	1	1	Brown
87	A685452	Nameless	2014-08-11 15:17:00	Transfer	Dog	Intact Female	4 months	Dachshund/Chihuahua Shorthair	Red	0	midday	0	Female	1.0	0.3333333333333333	0	0	Multiple	Dachshund	Hound	0	0	Red
88	A705924	Nero	2015-07-29 15:41:00	Transfer	Dog	Neutered Male	7 years	Chihuahua Shorthair Mix	Brown/White	1	midday	2	Male	0.0	7.0	2	1	Mix	Chihuahua Shorthair	Toy	0	1	Brown
89	A716760	Dasher	2015-12-06 17:08:00	Adoption	Dog	Neutered Male	6 months	Border Collie Mix	Black/White	1	lateday	6	Male	0.0	0.5	0	1	Mix	Border Collie	Herding	1	1	Black
90	A709048	Libby	2015-08-08 17:58:00	Adoption	Dog	Intact Female	5 months	Labrador Retriever Mix	Black/White	1	lateday	5	Female	1.0	0.4166666666666667	0	1	Mix	Labrador Retriever	Sporting	1	1	Black
91	A719048	Gracie	2016-01-13 11:43:00	Return_to_owner	Dog	Spayed Female	8 years	Maltese	White	1	midday	2	Female	0.0	8.0	2	0	Simple	Maltese	Toy	0	0	White
92	A720668	Nameless	2016-02-15 18:30:00	Return_to_owner	Dog	Spayed Female	5 months	Labrador Retriever Mix	White	0	lateday	0	Female	0.0	0.4166666666666667	0	1	Mix	Labrador Retriever	Sporting	1	0	White
93	A708769	Keyla	2015-08-01 11:54:00	Adoption	Dog	Spayed Female	1 year	Chihuahua Shorthair Mix	White/Tan	1	midday	5	Female	0.0	1.0	0	1	Mix	Chihuahua Shorthair	Toy	0	1	White
94	A681462	Samson	2014-08-10 16:25:00	Adoption	Dog	Neutered Male	2 years	Labrador Retriever/Rottweiler	Black/Brown	1	lateday	6	Male	0.0	2.0	1	0	Multiple	Labrador Retriever	Sporting	1	1	Black
95	A701153	Nameless	2015-06-25 09:31:00	Adoption	Dog	Neutered Male	2 months	Dachshund/Manchester Terrier	Tricolor	0	morning	3	Male	0.0	0.16666666666666666	0	0	Multiple	Dachshund	Hound	0	0	Tricolor
96	A700707	Sallie	2015-04-20 14:41:00	Adoption	Dog	Spayed Female	1 month	Plott Hound/Labrador Retriever	Black/Brown Brindle	1	midday	0	Female	0.0	0.08333333333333333	0	0	Multiple	Plott Hound	Hound	2	1	Black
97	A702563	Klo Dog	2015-05-25 11:26:00	Return_to_owner	Dog	Spayed Female	7 years	Chihuahua Shorthair/Rat Terrier	White/Tan	1	midday	0	Female	0.0	7.0	2	0	Multiple	Chihuahua Shorthair	Toy	0	1	White
98	A715729	Milo	2015-11-09 13:24:00	Return_to_owner	Dog	Neutered Male	4 years	Siberian Husky	White/Gray	1	midday	0	Male	0.0	4.0	1	0	Simple	Siberian Husky	Working	1	1	White
99	A716575	Scarlet	2015-12-22 00:00:00	Transfer	Dog	Spayed Female	2 years	Australian Cattle Dog Mix	Tan/White	1	night	1	Female	0.0	2.0	1	1	Mix	Australian Cattle Dog	Herding	1	1	Tan
100	A714462	Pebbles	2015-11-14 13:26:00	Return_to_owner	Dog	Spayed Female	1 year	Pointer Mix	White/Black	1	midday	5	Female	0.0	1.0	0	1	Mix	Pointer	Sporting	1	1	White
101	A717429	Cairo	2015-12-09 17:05:00	Return_to_owner	Dog	Neutered Male	2 years	Pit Bull Mix	Brown Brindle/White	1	lateday	2	Male	0.0	2.0	1	1	Mix	Pit Bull	PitBull	1	1	Brown Brindle
102	A701999	Luna	2015-05-12 17:39:00	Adoption	Dog	Spayed Female	2 years	Yorkshire Terrier/Miniature Poodle	Tan/Silver	1	lateday	1	Female	0.0	2.0	1	0	Multiple	Yorkshire Terrier	Toy	0	1	Tan
103	A698066	Diva	2015-03-07 12:50:00	Transfer	Dog	Spayed Female	4 years	German Shepherd Mix	White	1	midday	5	Female	0.0	4.0	1	1	Mix	German Shepherd	Herding	2	0	White
104	A699715	Ashley	2015-05-13 11:51:00	Transfer	Dog	Spayed Female	6 years	Catahoula/Labrador Retriever	White/Tan	1	midday	2	Female	0.0	6.0	1	0	Multiple	Catahoula	Herding	1	1	White
105	A702246	Nameless	2015-05-15 17:47:00	Adoption	Dog	Spayed Female	9 months	Miniature Poodle Mix	Black/White	0	lateday	4	Female	0.0	0.75	0	1	Mix	Miniature Poodle	NonSporting	1	1	Black
106	A711918	Jaqueline	2015-09-19 14:33:00	Adoption	Dog	Spayed Female	3 years	Jack Russell Terrier/Pit Bull	Red	1	midday	5	Female	0.0	3.0	1	0	Multiple	Jack Russell Terrier	Terrier	0	0	Red
107	A677577	Roxie	2014-05-01 16:12:00	Adoption	Dog	Spayed Female	10 months	Queensland Heeler/Shetland Sheepdog	Red Tick/Black	1	lateday	3	Female	0.0	0.8333333333333334	0	0	Multiple	Queensland Heeler	Herding	1	1	Red Tick
108	A713754	Harper	2015-10-27 16:44:00	Adoption	Dog	Neutered Male	1 year	Catahoula Mix	Blue Merle	1	lateday	1	Male	0.0	1.0	0	1	Mix	Catahoula	Herding	1	0	Blue Merle
109	A703631	Hanley	2015-07-03 18:50:00	Adoption	Dog	Neutered Male	1 year	Labrador Retriever Mix	Black/White	1	lateday	4	Male	0.0	1.0	0	1	Mix	Labrador Retriever	Sporting	1	1	Black
110	A676209	Boomer	2014-07-24 15:02:00	Adoption	Dog	Neutered Male	3 months	Labrador Retriever Mix	Yellow	1	midday	3	Male	0.0	0.25	0	1	Mix	Labrador Retriever	Sporting	1	0	Yellow
111	A667508	Brownie	2013-11-19 18:30:00	Return_to_owner	Dog	Intact Male	6 years	Chihuahua Shorthair Mix	Chocolate/Tan	1	lateday	1	Male	1.0	6.0	1	1	Mix	Chihuahua Shorthair	Toy	0	1	Chocolate
112	A676056	Swisha	2014-04-10 10:13:00	Return_to_owner	Dog	Neutered Male	2 years	American Pit Bull Terrier Mix	Tan/White	1	morning	3	Male	0.0	2.0	1	1	Mix	American Pit Bull Terrier	PitBull	1	1	Tan
113	A667963	Nameless	2013-11-30 18:48:00	Adoption	Dog	Spayed Female	5 years	Dachshund Longhair Mix	Tan/White	0	lateday	5	Female	0.0	5.0	1	1	Mix	Dachshund Longhair	Hound	0	1	Tan
114	A672065	Dutchess	2014-04-08 12:50:00	Adoption	Dog	Spayed Female	2 years	German Shepherd Mix	Sable	1	midday	1	Female	0.0	2.0	1	1	Mix	German Shepherd	Herding	2	0	Sable
115	A688852	Buddy	2014-10-18 18:48:00	Adoption	Dog	Neutered Male	6 years	Labrador Retriever Mix	Black/White	1	lateday	5	Male	0.0	6.0	1	1	Mix	Labrador Retriever	Sporting	1	1	Black
116	A670949	Cassie	2014-02-01 11:13:00	Return_to_owner	Dog	Spayed Female	8 months	Doberman Pinsch Mix	Tricolor	1	midday	5	Female	0.0	0.6666666666666666	0	1	Mix	Doberman Pinsch	Working	1	0	Tricolor
117	A690480	Nameless	2014-10-22 17:46:00	Transfer	Dog	Intact Female	3 weeks	Pointer Mix	Chocolate/White	0	lateday	2	Female	1.0	0.057692307692307696	0	1	Mix	Pointer	Sporting	1	1	Chocolate
118	A691636	Dali	2014-11-13 16:07:00	Adoption	Dog	Neutered Male	5 months	Dachshund/Jack Russell Terrier	White/Brown	1	lateday	3	Male	0.0	0.4166666666666667	0	0	Multiple	Dachshund	Hound	0	1	White
119	A678482	Nameless	2014-05-14 19:15:00	Adoption	Dog	Neutered Male	2 years	Miniature Poodle/Miniature Schnauzer	Black/White	0	lateday	2	Male	0.0	2.0	1	0	Multiple	Miniature Poodle	NonSporting	1	1	Black
120	A687785	Bella	2014-12-30 09:38:00	Adoption	Dog	Spayed Female	2 years	Whippet Mix	Brown Brindle/White	1	morning	1	Female	0.0	2.0	1	1	Mix	Whippet	Hound	1	1	Brown Brindle
121	A716839	Dino	2015-11-27 14:06:00	Return_to_owner	Dog	Intact Male	2 years	Australian Shepherd Mix	Brown Merle/White	1	midday	4	Male	1.0	2.0	1	1	Mix	Australian Shepherd	Herding	1	1	Brown Merle
122	A718547	Nameless	2016-01-11 14:23:00	Adoption	Dog	Spayed Female	2 years	Labrador Retriever Mix	Tan/White	0	midday	0	Female	0.0	2.0	1	1	Mix	Labrador Retriever	Sporting	1	1	Tan
