"","OutcomeType","HasName","TimeofDay","WeekDay","Sex","IsIntact","AgeinYears","Age","IsMixBreed","MixorMultipleorSimple","Group","Size","IsMixColor"
"58","Adoption",1,"midday","Friday","Female",0,4,1,0,"Multiple","Working",2,1
"59","Transfer",1,"midday","Thursday","Male",0,3,1,0,"Multiple","Working",2,1
"60","Adoption",1,"lateday","Sunday","Male",0,6,1,0,"Multiple","Working",2,0
"61","Adoption",1,"lateday","Sunday","Female",0,1,0,0,"Multiple","Working",2,1
"62","Adoption",1,"lateday","Wednesday","Male",0,2,1,1,"Mix","Working",2,1
"63","Return_to_owner",1,"lateday","Sunday","Male",0,2,1,1,"Mix","Working",2,1
"64","Return_to_owner",1,"midday","Saturday","Female",0,1,0,1,"Mix","NonSporting",1,1
"65","Adoption",1,"midday","Saturday","Male",0,2,1,1,"Mix","NonSporting",1,1
"66","Transfer",0,"lateday","Sunday","Male",1,0,0,1,"Mix","NonSporting",1,1
"67","Euthanasia",1,"lateday","Wednesday","Male",0,2,1,1,"Mix","NonSporting",1,1
"68","Return_to_owner",1,"lateday","Wednesday","Male",0,0,0,1,"Mix","NonSporting",1,1
"69","Adoption",0,"midday","Thursday","Female",0,0,0,1,"Mix","NonSporting",1,0
"70","Return_to_owner",1,"lateday","Wednesday","Male",0,2,1,0,"Simple","NonSporting",1,0
"71","Return_to_owner",1,"midday","Saturday","Male",0,6,1,1,"Mix","NonSporting",1,0
"72","Transfer",1,"midday","Tuesday","Male",0,3,1,0,"Multiple","NonSporting",1,0
"73","Transfer",1,"midday","Sunday","Male",1,1,0,1,"Mix","NonSporting",1,1
"74","Adoption",0,"midday","Thursday","Male",0,0,0,1,"Mix","NonSporting",1,1
"75","Transfer",1,"midday","Sunday","Male",0,6,1,1,"Mix","NonSporting",1,1
"76","Transfer",1,"morning","Sunday","Male",0,1,0,1,"Mix","NonSporting",1,0
"77","Adoption",1,"midday","Friday","Female",0,1,0,1,"Mix","NonSporting",1,1
"78","Adoption",1,"midday","Saturday","Male",0,2,1,1,"Mix","NonSporting",1,1
"79","Transfer",1,"lateday","Friday","Female",1,4,1,1,"Mix","NonSporting",1,1
"80","Transfer",1,"midday","Monday","Male",0,1,0,1,"Mix","NonSporting",1,1
"81","Return_to_owner",1,"midday","Saturday","Male",1,4,1,1,"Mix","NonSporting",1,1
"82","Adoption",0,"midday","Wednesday","Female",0,0,0,1,"Mix","NonSporting",1,1
"83","Return_to_owner",1,"midday","Monday","Male",1,2,1,0,"Multiple","NonSporting",1,1
"84","Transfer",1,"midday","Sunday","Male",0,2,1,1,"Mix","NonSporting",1,1
"85","Euthanasia",0,"lateday","Monday","Male",1,1,0,1,"Mix","NonSporting",1,1
"86","Adoption",1,"lateday","Friday","Female",0,2,1,1,"Mix","NonSporting",1,1
"87","Adoption",1,"lateday","Saturday","Female",0,4,1,1,"Mix","NonSporting",1,1
"88","Transfer",1,"midday","Saturday","Male",0,2,1,1,"Mix","NonSporting",1,1
"89","Return_to_owner",1,"midday","Sunday","Male",1,1,0,1,"Mix","NonSporting",1,1
"90","Return_to_owner",1,"lateday","Thursday","Female",1,1,0,1,"Mix","NonSporting",1,1
"91","Euthanasia",1,"morning","Saturday","Male",1,1,0,0,"Multiple","NonSporting",1,1
"92","Return_to_owner",1,"midday","Saturday","Male",1,1,0,1,"Mix","NonSporting",1,1
"93","Euthanasia",1,"morning","Thursday","Male",0,1,0,0,"Multiple","NonSporting",1,1
"94","Euthanasia",1,"lateday","Sunday","Male",0,2,1,1,"Mix","NonSporting",1,1
"95","Transfer",1,"lateday","Thursday","Male",0,4,1,1,"Mix","NonSporting",1,1
"96","Return_to_owner",1,"lateday","Friday","Female",0,1,0,1,"Mix","NonSporting",1,1
"97","Return_to_owner",1,"lateday","Saturday","Male",0,3,1,1,"Mix","NonSporting",1,1
"98","Adoption",1,"midday","Saturday","Male",0,2,1,1,"Mix","NonSporting",1,1
"99","Transfer",1,"midday","Monday","Male",0,2,1,1,"Mix","NonSporting",1,1
"100","Adoption",1,"lateday","Thursday","Female",0,1,0,1,"Mix","NonSporting",1,1
"101","Return_to_owner",1,"lateday","Monday","Male",0,7,2,1,"Mix","NonSporting",1,0
"102","Adoption",1,"midday","Saturday","Male",0,2,1,1,"Mix","NonSporting",1,1
"103","Transfer",1,"midday","Thursday","Male",0,1,0,0,"Multiple","NonSporting",1,1
"104","Return_to_owner",1,"midday","Friday","Male",0,2,1,1,"Mix","NonSporting",1,1
"105","Adoption",1,"lateday","Tuesday","Female",0,0,0,0,"Multiple","NonSporting",1,1
"106","Return_to_owner",1,"lateday","Monday","Female",0,7,2,0,"Simple","NonSporting",1,1
"107","Adoption",1,"lateday","Wednesday","Male",0,0,0,1,"Mix","NonSporting",1,1
"108","Return_to_owner",1,"lateday","Monday","Male",0,4,1,1,"Mix","NonSporting",1,1
"109","Euthanasia",0,"morning","Saturday","Male",1,2,1,1,"Mix","NonSporting",1,1
"110","Adoption",1,"midday","Friday","Male",0,1,0,1,"Mix","NonSporting",1,1
"111","Euthanasia",1,"lateday","Wednesday","Male",0,1,0,1,"Mix","NonSporting",1,1
"112","Return_to_owner",1,"lateday","Friday","Female",0,4,1,0,"Multiple","NonSporting",1,1
"113","Return_to_owner",1,"lateday","Saturday","Female",0,2,1,1,"Mix","NonSporting",1,1
"114","Adoption",1,"lateday","Sunday","Female",0,0,0,1,"Mix","NonSporting",1,0
"115","Adoption",1,"lateday","Saturday","Male",0,2,1,1,"Mix","NonSporting",1,1
"116","Adoption",1,"lateday","Saturday","Male",0,1,0,1,"Mix","NonSporting",1,1
"117","Return_to_owner",1,"lateday","Monday","Male",0,2,1,0,"Simple","NonSporting",1,1
"118","Transfer",1,"midday","Sunday","Male",0,2,1,1,"Mix","NonSporting",1,1
"119","Adoption",1,"midday","Tuesday","Female",0,2,1,1,"Mix","NonSporting",1,0
"120","Transfer",0,"lateday","Monday","Male",0,0,0,1,"Mix","NonSporting",1,0
"121","Transfer",0,"lateday","Saturday","Male",0,3,1,1,"Mix","NonSporting",1,0
"122","Adoption",1,"lateday","Monday","Male",0,0,0,1,"Mix","NonSporting",1,1
"123","Transfer",0,"morning","Friday","Male",1,0,0,1,"Mix","NonSporting",1,1
"124","Return_to_owner",1,"lateday","Wednesday","Male",0,1,0,1,"Mix","NonSporting",1,1
"125","Return_to_owner",0,"midday","Friday","Male",0,0,0,1,"Mix","NonSporting",1,1
"126","Return_to_owner",1,"midday","Friday","Male",0,4,1,1,"Mix","NonSporting",1,1
"127","Adoption",1,"lateday","Saturday","Male",0,2,1,1,"Mix","NonSporting",1,1
"128","Return_to_owner",1,"lateday","Thursday","Male",1,1,0,1,"Mix","NonSporting",1,1
"129","Transfer",0,"midday","Sunday","Male",1,0,0,1,"Mix","NonSporting",1,1
"130","Adoption",1,"midday","Sunday","Male",0,2,1,1,"Mix","NonSporting",1,1
"131","Adoption",1,"morning","Tuesday","Male",0,3,1,1,"Mix","NonSporting",1,1
"132","Return_to_owner",1,"midday","Saturday","Male",0,5,1,1,"Mix","NonSporting",1,1
"133","Return_to_owner",1,"midday","Friday","Male",0,5,1,1,"Mix","NonSporting",1,1
"134","Adoption",1,"midday","Sunday","Male",0,0,0,1,"Mix","NonSporting",1,1
"135","Adoption",1,"lateday","Saturday","Male",0,3,1,1,"Mix","NonSporting",1,1
"136","Transfer",1,"midday","Friday","Male",0,2,1,1,"Mix","NonSporting",1,1
"137","Transfer",1,"midday","Tuesday","Male",0,3,1,1,"Mix","NonSporting",1,1
"138","Adoption",1,"midday","Monday","Female",0,1,0,1,"Mix","NonSporting",1,1
"139","Return_to_owner",1,"midday","Sunday","Female",0,3,1,1,"Mix","NonSporting",1,1
"140","Adoption",1,"lateday","Saturday","Male",0,4,1,0,"Multiple","NonSporting",1,1
"141","Return_to_owner",1,"midday","Wednesday","Female",0,5,1,1,"Mix","NonSporting",1,1
"142","Euthanasia",1,"lateday","Wednesday","Male",0,2,1,1,"Mix","NonSporting",1,1
"143","Adoption",1,"lateday","Saturday","Male",0,2,1,0,"Multiple","NonSporting",1,1
"144","Euthanasia",1,"midday","Tuesday","Male",0,1,0,1,"Mix","NonSporting",1,1
"145","Return_to_owner",1,"midday","Tuesday","Male",0,2,1,1,"Mix","NonSporting",1,1
"146","Adoption",1,"lateday","Monday","Male",0,2,1,1,"Mix","NonSporting",1,1
"147","Return_to_owner",0,"morning","Saturday","Male",0,4,1,1,"Mix","NonSporting",1,1
"148","Adoption",1,"midday","Wednesday","Male",0,1,0,1,"Mix","NonSporting",1,1
"149","Transfer",1,"lateday","Sunday","Male",0,2,1,1,"Mix","NonSporting",1,1
"150","Transfer",1,"midday","Thursday","Male",0,1,0,1,"Mix","NonSporting",1,1
"151","Euthanasia",1,"midday","Thursday","Female",1,5,1,1,"Mix","NonSporting",1,1
"152","Return_to_owner",1,"midday","Sunday","Female",0,8,2,1,"Mix","NonSporting",1,1
"153","Adoption",1,"midday","Saturday","Male",0,1,0,0,"Multiple","NonSporting",1,1
"154","Adoption",1,"midday","Saturday","Male",0,7,2,0,"Simple","NonSporting",1,1
"155","Adoption",1,"lateday","Tuesday","Male",0,1,0,1,"Mix","NonSporting",1,1
"156","Euthanasia",1,"midday","Friday","Female",1,2,1,1,"Mix","NonSporting",1,1
"157","Transfer",0,"midday","Sunday","Male",1,0,0,1,"Mix","NonSporting",1,1
"158","Return_to_owner",1,"lateday","Monday","Male",0,8,2,1,"Mix","NonSporting",1,1
"159","Euthanasia",1,"lateday","Thursday","Female",1,2,1,1,"Mix","NonSporting",1,1
"160","Adoption",1,"midday","Sunday","Male",0,1,0,1,"Mix","NonSporting",1,1
"161","Adoption",0,"midday","Thursday","Male",0,0,0,1,"Mix","NonSporting",1,1
"162","Return_to_owner",1,"midday","Tuesday","Male",0,2,1,0,"Multiple","NonSporting",1,1
"163","Return_to_owner",1,"lateday","Wednesday","Male",0,3,1,1,"Mix","NonSporting",1,1
"164","Adoption",1,"midday","Saturday","Male",0,2,1,0,"Multiple","NonSporting",1,1
"165","Return_to_owner",1,"lateday","Tuesday","Male",0,5,1,1,"Mix","NonSporting",1,0
"166","Return_to_owner",1,"lateday","Wednesday","Male",0,3,1,1,"Mix","NonSporting",1,1
"167","Adoption",1,"lateday","Monday","Male",0,1,0,1,"Mix","NonSporting",1,1
"168","Return_to_owner",1,"lateday","Tuesday","Female",0,1,0,1,"Mix","NonSporting",1,1
"169","Transfer",1,"midday","Wednesday","Male",1,3,1,1,"Mix","NonSporting",1,1
"170","Transfer",1,"midday","Wednesday","Male",0,8,2,1,"Mix","NonSporting",1,1
"171","Adoption",1,"lateday","Saturday","Male",0,1,0,1,"Mix","NonSporting",1,1
"172","Adoption",1,"midday","Saturday","Male",0,2,1,1,"Mix","NonSporting",1,1
"173","Transfer",1,"lateday","Thursday","Male",0,0,0,0,"Multiple","NonSporting",1,1
"174","Adoption",1,"lateday","Sunday","Male",0,1,0,1,"Mix","NonSporting",1,1
"175","Transfer",1,"midday","Saturday","Male",0,3,1,1,"Mix","NonSporting",1,1
"176","Return_to_owner",1,"lateday","Tuesday","Female",0,8,2,1,"Mix","NonSporting",1,1
"177","Return_to_owner",1,"lateday","Friday","Male",0,3,1,1,"Mix","NonSporting",1,1
"178","Adoption",1,"lateday","Thursday","Male",0,2,1,1,"Mix","NonSporting",1,1
"179","Transfer",1,"lateday","Sunday","Male",0,2,1,0,"Multiple","NonSporting",1,1
"180","Return_to_owner",1,"midday","Tuesday","Male",1,1,0,1,"Mix","NonSporting",1,1
"181","Euthanasia",0,"morning","Tuesday","Male",1,2,1,1,"Mix","NonSporting",1,1
"182","Adoption",1,"midday","Saturday","Male",0,3,1,0,"Simple","NonSporting",1,1
"183","Adoption",1,"midday","Tuesday","Male",0,2,1,0,"Multiple","NonSporting",1,1
"184","Return_to_owner",1,"lateday","Tuesday","Male",1,7,2,1,"Mix","NonSporting",1,1
"185","Return_to_owner",1,"lateday","Saturday","Male",0,4,1,1,"Mix","NonSporting",1,0
"186","Transfer",1,"midday","Saturday","Male",0,1,0,1,"Mix","NonSporting",1,1
"187","Transfer",1,"lateday","Friday","Female",0,1,0,1,"Mix","NonSporting",1,1
"188","Transfer",1,"midday","Saturday","Female",0,2,1,1,"Mix","NonSporting",1,1
"189","Return_to_owner",1,"midday","Wednesday","Female",0,3,1,0,"Simple","NonSporting",1,1
"190","Return_to_owner",1,"midday","Sunday","Female",0,3,1,1,"Mix","NonSporting",1,0
"191","Adoption",1,"lateday","Monday","Male",0,5,1,1,"Mix","NonSporting",1,1
"192","Adoption",0,"midday","Thursday","Female",0,0,0,1,"Mix","NonSporting",1,1
"193","Adoption",1,"midday","Saturday","Male",0,3,1,1,"Mix","NonSporting",1,0
"194","Adoption",1,"lateday","Thursday","Female",0,2,1,1,"Mix","NonSporting",1,0
"195","Euthanasia",1,"midday","Friday","Male",0,12,2,1,"Mix","NonSporting",1,0
"196","Adoption",0,"lateday","Monday","Female",0,0,0,1,"Mix","NonSporting",1,0
"197","Return_to_owner",1,"lateday","Sunday","Female",0,15,2,0,"Simple","NonSporting",1,0
"198","Return_to_owner",1,"lateday","Friday","Male",1,13,2,1,"Mix","NonSporting",1,1
"199","Euthanasia",1,"midday","Tuesday","Female",0,13,2,1,"Mix","NonSporting",1,1
"200","Adoption",1,"midday","Wednesday","Male",0,8,2,0,"Multiple","NonSporting",1,1
"201","Adoption",1,"lateday","Wednesday","Male",0,5,1,1,"Mix","NonSporting",1,0
"202","Adoption",1,"midday","Wednesday","Male",0,8,2,0,"Multiple","NonSporting",1,0
"203","Return_to_owner",1,"midday","Thursday","Male",0,2,1,1,"Mix","NonSporting",1,0
"204","Transfer",1,"midday","Monday","Male",1,12,2,1,"Mix","NonSporting",1,0
"205","Adoption",1,"midday","Saturday","Male",0,3,1,0,"Multiple","NonSporting",1,0
"206","Return_to_owner",1,"midday","Monday","Male",0,2,1,1,"Mix","NonSporting",1,1
"207","Transfer",1,"midday","Tuesday","Male",0,5,1,0,"Simple","NonSporting",1,0
"208","Return_to_owner",1,"midday","Wednesday","Female",0,10,2,1,"Mix","Hound",2,0
"209","Adoption",1,"lateday","Monday","Male",0,1,0,0,"Multiple","Hound",2,0
"210","Return_to_owner",1,"midday","Tuesday","Male",0,3,1,1,"Mix","Hound",2,1
"211","Return_to_owner",1,"midday","Monday","Male",0,1,0,0,"Simple","Hound",2,1
"212","Adoption",1,"lateday","Saturday","Male",0,0,0,0,"Multiple","Hound",2,1
"213","Return_to_owner",1,"lateday","Sunday","Female",0,2,1,0,"Multiple","PitBull",1,1
"214","Adoption",1,"lateday","Friday","Male",0,0,0,1,"Mix","PitBull",1,1
"215","Transfer",1,"midday","Friday","Male",0,2,1,1,"Mix","PitBull",1,1
"216","Adoption",1,"midday","Friday","Male",0,2,1,1,"Mix","PitBull",1,1
"217","Adoption",1,"lateday","Saturday","Female",0,1,0,1,"Mix","PitBull",1,1
"218","Adoption",1,"midday","Tuesday","Male",0,1,0,1,"Mix","PitBull",1,1
"219","Transfer",1,"lateday","Wednesday","Female",0,1,0,0,"Simple","PitBull",1,1
"220","Transfer",1,"midday","Sunday","Female",0,2,1,1,"Mix","PitBull",1,1
"221","Adoption",1,"midday","Monday","Female",0,1,0,1,"Mix","PitBull",1,1
"222","Return_to_owner",1,"midday","Thursday","Female",1,2,1,1,"Mix","PitBull",1,1
"223","Return_to_owner",1,"midday","Friday","Female",0,5,1,0,"Simple","PitBull",1,1
"224","Return_to_owner",1,"midday","Saturday","Male",1,0,0,1,"Mix","PitBull",1,1
"225","Transfer",1,"midday","Tuesday","Male",1,1,0,1,"Mix","PitBull",1,1
"226","Adoption",1,"midday","Monday","Male",0,2,1,1,"Mix","PitBull",1,1
"227","Adoption",1,"lateday","Friday","Male",0,3,1,1,"Mix","PitBull",1,1
"228","Return_to_owner",1,"midday","Sunday","Female",0,0,0,1,"Mix","PitBull",1,1
"229","Transfer",1,"midday","Saturday","Male",0,1,0,1,"Mix","PitBull",1,1
"230","Adoption",1,"lateday","Monday","Female",0,1,0,1,"Mix","PitBull",1,1
"231","Return_to_owner",0,"lateday","Friday","Female",1,1,0,1,"Mix","PitBull",1,1
"232","Adoption",1,"lateday","Tuesday","Female",0,0,0,1,"Mix","PitBull",1,1
"233","Transfer",1,"morning","Sunday","Male",0,2,1,1,"Mix","PitBull",1,0
"234","Return_to_owner",1,"lateday","Wednesday","Male",0,2,1,0,"Multiple","PitBull",1,1
"235","Return_to_owner",1,"lateday","Tuesday","Female",0,3,1,1,"Mix","PitBull",1,1
"236","Return_to_owner",1,"midday","Friday","Male",1,1,0,1,"Mix","PitBull",1,1
"237","Return_to_owner",1,"midday","Saturday","Male",1,5,1,0,"Multiple","PitBull",1,1
"238","Transfer",1,"midday","Saturday","Female",1,0,0,1,"Mix","PitBull",1,0
"239","Adoption",1,"lateday","Sunday","Female",0,0,0,1,"Mix","PitBull",1,1
"240","Euthanasia",0,"lateday","Sunday","Female",1,0,0,1,"Mix","PitBull",1,1
"241","Return_to_owner",1,"midday","Saturday","Female",0,2,1,1,"Mix","PitBull",1,0
"242","Adoption",1,"midday","Friday","Male",0,1,0,1,"Mix","PitBull",1,1
"243","Adoption",0,"lateday","Thursday","Male",0,3,1,1,"Mix","PitBull",1,0
"244","Return_to_owner",1,"lateday","Wednesday","Female",0,3,1,1,"Mix","PitBull",1,1
"245","Return_to_owner",1,"midday","Thursday","Male",0,5,1,0,"Multiple","PitBull",1,0
"246","Adoption",1,"lateday","Sunday","Female",0,7,2,1,"Mix","PitBull",1,0
"247","Transfer",1,"midday","Wednesday","Male",0,1,0,1,"Mix","PitBull",1,0
"248","Adoption",0,"midday","Sunday","Male",0,2,1,1,"Mix","PitBull",1,1
"249","Adoption",1,"midday","Sunday","Female",0,2,1,0,"Multiple","PitBull",1,1
"250","Return_to_owner",1,"lateday","Tuesday","Female",0,4,1,1,"Mix","PitBull",1,1
"251","Transfer",1,"morning","Thursday","Female",0,1,0,1,"Mix","PitBull",1,1
"252","Euthanasia",1,"midday","Monday","Male",0,2,1,1,"Mix","PitBull",1,1
"253","Adoption",1,"lateday","Sunday","Female",0,3,1,0,"Multiple","PitBull",1,1
"254","Adoption",1,"midday","Monday","Male",0,1,0,1,"Mix","PitBull",1,1
"255","Return_to_owner",1,"midday","Sunday","Female",0,1,0,0,"Multiple","PitBull",1,1
"256","Adoption",1,"midday","Sunday","Female",0,3,1,1,"Mix","PitBull",1,1
"257","Transfer",0,"midday","Friday","Male",1,2,1,1,"Mix","PitBull",1,1
"258","Return_to_owner",1,"midday","Friday","Male",0,3,1,1,"Mix","PitBull",1,1
"259","Return_to_owner",1,"lateday","Thursday","Male",1,2,1,1,"Mix","PitBull",1,1
"260","Return_to_owner",1,"lateday","Tuesday","Female",1,0,0,0,"Multiple","PitBull",1,1
"261","Euthanasia",1,"midday","Wednesday","Female",0,5,1,0,"Simple","PitBull",1,0
"262","Adoption",0,"lateday","Friday","Female",0,1,0,1,"Mix","PitBull",1,1
"263","Transfer",0,"midday","Thursday","Female",0,0,0,1,"Mix","PitBull",1,1
"264","Return_to_owner",1,"lateday","Tuesday","Female",0,2,1,1,"Mix","PitBull",1,1
"265","Return_to_owner",1,"midday","Thursday","Male",1,2,1,1,"Mix","PitBull",1,1
"266","Adoption",1,"lateday","Saturday","Male",0,1,0,1,"Mix","PitBull",1,1
"267","Return_to_owner",1,"lateday","Saturday","Male",1,1,0,1,"Mix","PitBull",1,0
"268","Adoption",1,"midday","Friday","Female",0,0,0,1,"Mix","PitBull",1,1
"269","Transfer",1,"lateday","Friday","Male",0,1,0,1,"Mix","PitBull",1,1
"270","Adoption",1,"lateday","Sunday","Male",0,5,1,1,"Mix","PitBull",1,1
"271","Adoption",1,"lateday","Thursday","Female",0,0,0,1,"Mix","PitBull",1,1
"272","Transfer",1,"midday","Friday","Female",1,1,0,1,"Mix","PitBull",1,0
"273","Transfer",1,"midday","Tuesday","Male",1,0,0,1,"Mix","PitBull",1,1
"274","Adoption",1,"midday","Saturday","Male",0,2,1,1,"Mix","PitBull",1,1
"275","Adoption",1,"midday","Sunday","Male",0,2,1,1,"Mix","PitBull",1,1
"276","Euthanasia",1,"morning","Monday","Female",0,6,1,1,"Mix","PitBull",1,1
"277","Transfer",1,"lateday","Saturday","Male",0,2,1,1,"Mix","PitBull",1,1
"278","Transfer",1,"lateday","Monday","Female",0,2,1,0,"Simple","PitBull",1,1
"279","Return_to_owner",1,"morning","Thursday","Male",0,2,1,1,"Mix","PitBull",1,1
"280","Transfer",1,"midday","Sunday","Female",0,2,1,1,"Mix","PitBull",1,1
"281","Return_to_owner",1,"midday","Saturday","Male",0,4,1,0,"Simple","PitBull",1,1
"282","Transfer",1,"lateday","Tuesday","Female",0,4,1,0,"Multiple","PitBull",1,1
"283","Transfer",1,"lateday","Thursday","Male",0,2,1,1,"Mix","PitBull",1,1
"284","Transfer",1,"midday","Saturday","Female",0,1,0,1,"Mix","PitBull",1,1
"285","Transfer",1,"midday","Wednesday","Male",0,3,1,1,"Mix","PitBull",1,1
"286","Adoption",1,"midday","Saturday","Female",0,3,1,1,"Mix","PitBull",1,1
"287","Adoption",1,"lateday","Sunday","Male",0,8,2,1,"Mix","PitBull",1,1
"288","Adoption",1,"midday","Wednesday","Male",0,1,0,1,"Mix","PitBull",1,1
"289","Transfer",1,"lateday","Monday","Female",0,2,1,1,"Mix","PitBull",1,1
"290","Euthanasia",1,"midday","Wednesday","Male",0,2,1,1,"Mix","PitBull",1,1
"291","Return_to_owner",1,"night","Thursday","Male",0,1,0,1,"Mix","PitBull",1,1
"292","Transfer",1,"night","Wednesday","Male",1,2,1,1,"Mix","PitBull",1,0
"293","Transfer",1,"midday","Friday","Male",0,1,0,1,"Mix","PitBull",1,0
"294","Return_to_owner",1,"midday","Friday","Male",0,1,0,1,"Mix","PitBull",1,0
"295","Adoption",1,"lateday","Saturday","Male",0,1,0,0,"Multiple","PitBull",1,1
"296","Return_to_owner",1,"lateday","Saturday","Female",1,2,1,1,"Mix","Terrier",1,1
"297","Adoption",1,"lateday","Monday","Female",0,2,1,1,"Mix","Terrier",1,0
"298","Return_to_owner",1,"lateday","Friday","Female",0,1,0,1,"Mix","Terrier",1,1
"299","Adoption",1,"lateday","Sunday","Female",0,3,1,1,"Mix","Terrier",1,1
"300","Return_to_owner",1,"midday","Tuesday","Female",0,6,1,1,"Mix","Terrier",1,1
"301","Euthanasia",0,"midday","Thursday","Male",1,2,1,1,"Mix","Terrier",1,1
