AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A680028,NA,6/7/14 12:54,Transfer,Partner,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White
A679010,Chrissy,5/17/14 11:32,Transfer,Partner,Cat,Intact Female,2 years,Angora Mix,White
A684787,Kuma,7/30/14 17:34,Return_to_owner,NA,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
A670658,Anders,1/19/14 15:03,Transfer,Partner,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White
A708812,Munchkin,9/18/15 15:19,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White
A705262,Jamaica,8/15/15 14:22,Adoption,NA,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White
A665781,Quattro,10/28/13 16:32,Adoption,NA,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White
A676333,Trigger,4/9/14 17:44,Return_to_owner,NA,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown
A712750,Olive,10/3/15 15:44,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
A718832,Nia,1/15/16 17:31,Adoption,NA,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White
A698777,Chloe,3/25/15 18:50,Adoption,NA,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan
A715348,Cymbale,11/21/15 13:01,Adoption,NA,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White
A708666,Jax,7/30/15 14:30,Return_to_owner,NA,Cat,Neutered Male,7 years,Russian Blue Mix,Blue
A718535,NA,1/1/16 13:57,Euthanasia,Suffering,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A707341,Murphy,7/15/15 15:25,Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White
A682532,NA,7/3/14 17:01,Adoption,NA,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A666825,Jesse,11/8/13 13:24,Return_to_owner,NA,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black
A699723,Delgado,4/11/15 16:01,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
A668626,NA,12/6/13 14:55,Euthanasia,Suffering,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow
A657085,Pony Boy,10/24/13 11:22,Return_to_owner,NA,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
A682413,NA,7/2/14 13:37,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
A702655,Mica,8/11/15 0:00,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
A707503,NA,7/14/15 12:16,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A697199,Pilar,4/4/15 17:26,Adoption,NA,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby
A705598,NA,6/23/15 13:25,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
A668388,Lucy,12/9/13 15:04,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A671181,NA,1/21/14 15:15,Transfer,SCRP,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White
A676766,Ali,5/28/14 15:52,Adoption,NA,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
A686716,Chester,8/27/14 7:50,Return_to_owner,NA,Dog,Neutered Male,12 years,Beagle,Tricolor
A684475,Daisy,8/5/14 11:15,Return_to_owner,NA,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black
A701804,NA,5/5/15 11:46,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A697852,Edith,3/9/15 17:57,Adoption,NA,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown
A666092,NA,10/30/13 15:37,Euthanasia,Aggressive,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White
A684050,NA,7/28/14 9:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
A710107,Caty,10/19/15 18:58,Adoption,NA,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A682347,NA,6/26/14 17:16,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
A701627,Gabe,5/14/15 12:07,Adoption,NA,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White
A690902,Beth,11/18/14 16:05,Adoption,NA,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
A712979,NA,10/4/15 15:02,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black
A707687,Bashful,8/16/15 13:52,Adoption,NA,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A683443,NA,7/18/14 16:23,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
A597644,Lola,9/16/14 14:05,Return_to_owner,NA,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black
A682784,Sugar,7/7/14 12:38,Adoption,NA,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White
A709863,Orangejello,8/19/15 13:32,Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A678506,Prec Punkin',5/9/14 18:07,Euthanasia,Suffering,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black
A713029,Wilma,10/6/15 15:07,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A712236,Bella,9/23/15 11:45,Adoption,NA,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White
A683961,NA,7/17/14 17:31,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A714740,Chiquita,10/27/15 18:32,Return_to_owner,NA,Dog,Spayed Female,6 years,Maltese Mix,White
A691847,Hero,12/8/14 15:53,Transfer,Partner,Dog,Neutered Male,6 months,Pointer Mix,Black/White
A711392,Molly,9/8/15 15:31,Transfer,Partner,Dog,Intact Female,2 months,English Foxhound,Buff
A705258,NA,6/16/15 9:00,Transfer,SCRP,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby/White
A678172,Bella,5/10/14 18:18,Adoption,NA,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red
A676736,Chili,4/30/14 17:55,Adoption,NA,Dog,Neutered Male,2 months,Vizsla Mix,Brown
A701575,Hastings,1/29/16 14:53,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
A674913,NA,3/25/14 18:15,Adoption,NA,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White
A706446,Tootsie,8/18/15 11:32,Return_to_owner,NA,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A669540,Snookie,12/28/13 16:17,Return_to_owner,NA,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan
A709371,Abby,8/19/15 14:28,Transfer,Partner,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
A681410,Nym,6/22/14 17:22,Adoption,NA,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby
A675021,NA,3/21/14 17:09,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A704179,Zeus,6/7/15 16:07,Adoption,NA,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black
A717839,NA,12/20/15 19:38,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White
A700740,Charlie,12/17/15 12:10,Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair,White
A712376,NA,9/22/15 12:10,Euthanasia,Suffering,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
A703952,Taco,5/30/15 18:56,Transfer,Partner,Cat,Unknown,4 weeks,Siamese Mix,Seal Point
A713690,NA,10/12/15 9:00,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby
A691838,Avaddon,2/9/15 17:17,Euthanasia,Suffering,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle
A687789,NA,9/14/14 18:51,Adoption,NA,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White
A704754,Arthur,7/18/15 15:37,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A707531,NA,7/14/15 15:04,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A677594,NA,4/26/14 18:00,Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White
A667155,NA,11/18/13 15:56,Adoption,NA,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico
A717147,Freeway,12/15/15 14:16,Adoption,NA,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White
A687012,Chloe,2/7/16 14:54,Adoption,NA,Dog,Spayed Female,3 years,Boxer/Great Dane,Black
A676200,Georgia,4/10/14 11:49,Transfer,Partner,Dog,Spayed Female,7 years,Lhasa Apso,White/Black
A676680,Hero,2/6/15 18:56,Euthanasia,Aggressive,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
A688443,Thelma,12/29/14 15:11,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
A715261,Darcy,11/15/15 14:06,Adoption,NA,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown
A717008,Taz,12/6/15 15:12,Transfer,Partner,Dog,Neutered Male,7 months,Border Collie Mix,Black/White
A683416,NA,7/14/14 19:28,Adoption,NA,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A690658,NA,10/24/14 9:00,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White
A695155,NA,1/14/15 16:18,Adoption,NA,Dog,Neutered Male,3 years,Border Terrier Mix,Gray
A679721,Poppy,5/29/14 17:43,Adoption,NA,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
A719113,Dexter,1/28/16 12:05,Transfer,Partner,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White
A665298,NA,10/16/13 11:50,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue
A708351,NA,7/26/15 14:40,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A670681,Matty,1/30/14 14:41,Transfer,Partner,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
A699990,Chubbs,4/8/15 18:06,Return_to_owner,NA,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White
A707767,Lilly,7/19/15 18:27,Adoption,NA,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A668362,Minnie,12/20/13 12:02,Return_to_owner,NA,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A674577,Santiago,3/23/14 18:43,Adoption,NA,Dog,Neutered Male,2 years,Dogo Argentino Mix,White
A674802,Franklin,3/29/14 11:26,Return_to_owner,NA,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown
A672410,Myles,2/11/14 18:16,Return_to_owner,NA,Dog,Neutered Male,5 years,Beagle Mix,Tricolor
A657753,Wiz,12/6/13 16:53,Euthanasia,Aggressive,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
A663339,Abby,10/20/13 16:37,Adoption,NA,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
A678229,NA,5/6/14 15:59,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A698694,Boss,7/6/15 15:48,Transfer,Partner,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown
A695971,NA,1/26/15 16:23,Euthanasia,Suffering,Cat,Intact Male,6 years,Domestic Shorthair Mix,Orange Tabby
A674233,Missy,3/22/14 15:38,Adoption,NA,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
A713392,Basil,11/5/15 0:00,Transfer,Partner,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White
A713968,Katydid,10/24/15 18:29,Transfer,Partner,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico
A701428,Kiki,5/3/15 16:59,Return_to_owner,NA,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown
A676146,Desmo,4/14/14 17:00,Return_to_owner,NA,Dog,Neutered Male,5 years,Dachshund Mix,Black
A679259,Pablo,5/26/14 11:22,Adoption,NA,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black
A688223,NA,9/21/14 14:15,Adoption,Offsite,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
A691968,NA,11/14/14 11:57,Euthanasia,Suffering,Cat,Intact Female,7 years,Domestic Shorthair Mix,Tortie
A688871,Pandora,10/3/14 18:43,Adoption,NA,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
A674530,Jackson,9/11/14 17:03,Adoption,NA,Dog,Neutered Male,5 years,Pit Bull,Black
A718604,Watson,1/31/16 17:22,Adoption,NA,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown
A686520,NA,8/24/14 9:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
A699094,Levon,3/22/15 18:40,Return_to_owner,NA,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
A394547,Snickerdoodl,1/25/15 11:15,Return_to_owner,NA,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White
A662685,Lola,10/22/15 17:18,Adoption,NA,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White
A713977,Jumbly,10/26/15 18:39,Return_to_owner,NA,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A707781,Pearl,1/15/16 14:03,Adoption,NA,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White
A694699,Pebbles,1/9/15 15:28,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A696350,Minnie,12/15/15 17:30,Return_to_owner,NA,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle
A679102,Merlin,6/10/14 16:41,Transfer,Partner,Cat,Neutered Male,2 years,Siamese Mix,Flame Point
A698341,Parsley,5/16/15 15:19,Return_to_owner,NA,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown
A681481,NA,6/18/14 9:00,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White
A714177,NA,10/20/15 9:00,Transfer,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Tortie
A689601,Abby,11/23/14 18:55,Adoption,Foster,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor
A685062,NA,8/5/14 13:20,Adoption,NA,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A672453,NA,2/16/14 19:38,Adoption,Offsite,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Cream Tabby
A719480,Ricky,2/9/16 16:31,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby/White
A702880,Tom,6/28/15 15:33,Adoption,NA,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
A714494,Amarillo,11/1/15 19:11,Adoption,NA,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow
A711853,Nala,11/7/15 19:14,Adoption,NA,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A688720,NA,9/26/14 18:09,Adoption,NA,Dog,Spayed Female,1 year,Dachshund Mix,Tan
A689690,Winnie,10/22/14 14:37,Transfer,Partner,Dog,Intact Female,6 months,Dachshund Mix,Brown/White
A679915,Luna,6/1/14 17:48,Adoption,NA,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A687991,NA,9/12/14 18:38,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico
A707896,Tokyo,2/19/16 14:58,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A702014,Diamond,11/14/15 13:30,Adoption,NA,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White
A673626,NA,3/3/14 16:58,Transfer,Partner,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor
A652097,Minnie,2/10/14 12:34,Return_to_owner,NA,Dog,Spayed Female,2 years,Dachshund Longhair,Brown
A685180,Neville,9/27/14 12:25,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Red
A707442,Conrad,8/15/15 11:32,Adoption,NA,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
A682599,Shiva,7/3/14 18:45,Adoption,NA,Cat,Spayed Female,4 months,Domestic Longhair,Calico
A685452,NA,8/11/14 15:17,Transfer,Partner,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red
A688067,NA,9/15/14 9:00,Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie
A714069,Jupiter,12/16/15 11:28,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby/White
A705924,Nero,7/29/15 15:41,Transfer,Partner,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White
A717167,Oscar,1/23/16 16:05,Adoption,Foster,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
A711639,NA,9/10/15 11:35,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie/Calico
A716760,Dasher,12/6/15 17:08,Adoption,NA,Dog,Neutered Male,6 months,Border Collie Mix,Black/White
A709048,Libby,8/8/15 17:58,Adoption,NA,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White
A719048,Gracie,1/13/16 11:43,Return_to_owner,NA,Dog,Spayed Female,8 years,Maltese,White
A707437,NA,7/19/15 17:26,Adoption,NA,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A706387,Sugar,7/6/15 18:05,Adoption,NA,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue Tabby/White
A720668,NA,2/15/16 18:30,Return_to_owner,NA,Dog,Spayed Female,5 months,Labrador Retriever Mix,White
A679341,Jethro,5/31/14 13:58,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A690519,NA,10/23/14 9:00,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue Tabby
A708769,Keyla,8/1/15 11:54,Adoption,NA,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
A681462,Samson,8/10/14 16:25,Adoption,NA,Dog,Neutered Male,2 years,Labrador Retriever/Rottweiler,Black/Brown
A666444,August,11/4/13 15:50,Transfer,Partner,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie
A701153,NA,6/25/15 9:31,Adoption,Foster,Dog,Neutered Male,2 months,Dachshund/Manchester Terrier,Tricolor
A710071,Herb,9/1/15 0:00,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
A714602,Stripey,10/29/15 18:44,Adoption,NA,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A700707,Sallie,4/20/15 14:41,Adoption,NA,Dog,Spayed Female,1 month,Plott Hound/Labrador Retriever,Black/Brown Brindle
A702563,Klo Dog,5/25/15 11:26,Return_to_owner,NA,Dog,Spayed Female,7 years,Chihuahua Shorthair/Rat Terrier,White/Tan
A679441,NA,5/21/14 13:47,Transfer,Partner,Cat,Intact Male,4 days,Domestic Shorthair Mix,Cream Tabby/White
A715729,Milo,11/9/15 13:24,Return_to_owner,NA,Dog,Neutered Male,4 years,Siberian Husky,White/Gray
A716575,Scarlet,12/22/15 0:00,Transfer,Partner,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Tan/White
A714462,Pebbles,11/14/15 13:26,Return_to_owner,NA,Dog,Spayed Female,1 year,Pointer Mix,White/Black
A717429,Cairo,12/9/15 17:05,Return_to_owner,NA,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
A687336,NA,9/3/14 18:51,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Brown Tabby
A713364,Calypso,11/13/15 11:53,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
A701999,Luna,5/12/15 17:39,Adoption,NA,Dog,Spayed Female,2 years,Yorkshire Terrier/Miniature Poodle,Tan/Silver
A664304,NA,10/3/13 12:27,Transfer,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Orange Tabby
A698066,Diva,3/7/15 12:50,Transfer,Partner,Dog,Spayed Female,4 years,German Shepherd Mix,White
A680585,Olivia,7/16/14 17:48,Adoption,NA,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
A699715,Ashley,5/13/15 11:51,Transfer,Partner,Dog,Spayed Female,6 years,Catahoula/Labrador Retriever,White/Tan
A702246,NA,5/15/15 17:47,Adoption,NA,Dog,Spayed Female,9 months,Miniature Poodle Mix,Black/White
A711918,Jaqueline,9/19/15 14:33,Adoption,NA,Dog,Spayed Female,3 years,Jack Russell Terrier/Pit Bull,Red
A676430,Tabitha,11/23/14 12:43,Adoption,NA,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Torbie
A677577,Roxie,5/1/14 16:12,Adoption,NA,Dog,Spayed Female,10 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
A683666,NA,9/1/15 0:00,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Cream Tabby
A713754,Harper,10/27/15 16:44,Adoption,NA,Dog,Neutered Male,1 year,Catahoula Mix,Blue Merle
A703631,Hanley,7/3/15 18:50,Adoption,NA,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A676209,Boomer,7/24/14 15:02,Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow
A667508,Brownie,11/19/13 18:30,Return_to_owner,NA,Dog,Intact Male,6 years,Chihuahua Shorthair Mix,Chocolate/Tan
A671105,NA,1/21/14 15:20,Transfer,SCRP,Cat,Unknown,1 year,Domestic Longhair Mix,Black
A676056,Swisha,4/10/14 10:13,Return_to_owner,NA,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White
A667963,NA,11/30/13 18:48,Adoption,NA,Dog,Spayed Female,5 years,Dachshund Longhair Mix,Tan/White
A702207,NA,5/10/15 17:16,Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Longhair Mix,Orange Tabby/White
A672065,Dutchess,4/8/14 12:50,Adoption,NA,Dog,Spayed Female,2 years,German Shepherd Mix,Sable
A688852,Buddy,10/18/14 18:48,Adoption,NA,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White
A705885,Meowser,6/27/15 18:24,Adoption,NA,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A670949,Cassie,2/1/14 11:13,Return_to_owner,NA,Dog,Spayed Female,8 months,Doberman Pinsch Mix,Tricolor
A665666,Teddy,12/27/13 15:49,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
A714575,Isis,10/31/15 15:18,Transfer,Partner,Cat,Intact Female,15 years,Domestic Shorthair Mix,Black
A690480,NA,10/22/14 17:46,Transfer,Partner,Dog,Intact Female,3 weeks,Pointer Mix,Chocolate/White
A691636,Dali,11/13/14 16:07,Adoption,NA,Dog,Neutered Male,5 months,Dachshund/Jack Russell Terrier,White/Brown
A678482,NA,5/14/14 19:15,Adoption,NA,Dog,Neutered Male,2 years,Miniature Poodle/Miniature Schnauzer,Black/White
A687785,Bella,12/30/14 9:38,Adoption,Foster,Dog,Spayed Female,2 years,Whippet Mix,Brown Brindle/White
A716839,Dino,11/27/15 14:06,Return_to_owner,NA,Dog,Intact Male,2 years,Australian Shepherd Mix,Brown Merle/White
A718547,NA,1/11/16 14:23,Adoption,NA,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White
A687989,NA,9/12/14 18:38,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A694408,Emma,5/28/15 13:14,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Tiger/White
A698940,NA,3/21/15 9:00,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
A666074,Jackson,10/30/13 15:14,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A675549,Marco,4/8/14 15:29,Transfer,Partner,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
A682131,NA,6/24/14 19:15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A674737,Byron,5/27/14 8:21,Adoption,Foster,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
A719876,Oreo,2/2/16 15:58,Transfer,Partner,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Black
A676626,Pia,5/30/14 16:54,Adoption,Foster,Dog,Spayed Female,2 months,English Pointer Mix,Brown/White
A666478,Bleu,11/4/13 17:51,Adoption,NA,Dog,Spayed Female,1 year,Miniature Schnauzer/Yorkshire Terrier,Black/White
A683507,NA,7/15/14 17:26,Adoption,NA,Dog,Spayed Female,3 years,Cairn Terrier Mix,Buff
